von	of
geschrieben	written
Regeln	rules
Finale	final
Ding	thing
Center	centre
Anforderungen	requirements
WAHR	TRUE
Protokoll	minutes
sonst	else
Kennzeichen	mark
Rock	rock
Schlecht	bad
Individuell	individual
Plus	plus
Auto	auto
Abdeckung	cover
bearbeiten	edit
zusammen	together
Videos	videos
schnell	fast
Funktion	function
Tatsache	fact
bekommen	getting
global	global
Technik	tech
Treffen	meet
weit	far
wirtschaftlich	economic
en	en
Spieler	player
Projekte	projects
Menge	amount
Uhr	watch
inbegriffen	included
Gefühl	feel
Bank	bank
Risiko	risk
Angebote	deals
verschiedene	various
Wörter	words
Produktion	production
kommerziell	commercial
Gewicht	weight
Herz	heart
Behandlung	treatment
Punkte	points
Wissen	knowledge
Zeitschrift	magazine
Error	error
Kamera	camera
Mädchen	girl
Konstruktion	construction
Spielzeuge	toys
Eingetragen	registered
Domain	domain
Methoden	methods
Kapitel	chapter
Schutz	protection
Politik	policies
breit	wide
Schönheit	beauty
Manager	manager
Indien	india
Position	position
genommen	taken
Sortieren	sort
Inserate	listings
bekannt	known
Hälfte	half
Fälle	cases
Schritt	step
Ingenieurwesen	engineering
einfach	simple
schnell	quick
Lizenz	license
See	lake
ganze	whole
jährlich	annual
veröffentlicht	published
Kirche	church
Methode	method
aktiv	active
Antwort	response
Zahl	figure
Materialien	materials
genug	enough
entworfen	designed
unter	among
Tod	death
Verlust	loss
Gesicht	face
Marke	brand
Rabatt	discount
Auswirkungen	effects
erstellt	created
Normen	standards
Bit	bit
politisch	political
Königreich	kingdom
Base	base
tun	doing
Darlehen	loans
Schuhe	shoes
Eintrag	entry
bleibe	stay
Aufträge	orders
Verfügbarkeit	availability
Zusammenfassung	summary
Wende	turn
Wachstum	growth
Agentur	agency
König	king
europäisch	european
Aktivität	activity
Kopieren	copy
Western	western
Macht	force
Beschäftigung	employment
Bucht	bay
Fluss	river
Kommission	commission
Paket	package
gesehen	seen
Spieler	players
Motor	engine
Hafen	port
Album	album
regional	regional
halt	stop
gestartet	started
Verwaltung	administration
Bar	bar
Institut	institute
Ansichten	views
doppelt	double
Hund	dog
bald	soon
Linien	lines
elektronisch	electronic
Leistungen	benefits
erforderlich	needed
Drucker	printer
Bedingung	condition
Wirksam	effective
glauben	believe
Organisation	organization
bewirken	effect
Verstand	mind
Auswahl	selection
Kasino	casino
pdf	pdf
Tour	tour
Kreuz	cross
Hoffnung	hope
Konzern	corporation
Wunsch	wish
Lösung	solution
reifen	mature
Rolle	role
Wochen	weeks
sicher	certain
niedriger	lower
notwendig	necessary
Union	union
mon	mon
com	com
besonders	particular
fein	fine
Stunde	hour
Gas	gas
Kompetenzen	skills
sechs	six
Buchse	bush
Inseln	islands
Rat	advice
Werdegang	career
Entscheidung	decision
verlassen	leave
Vor	pre
enorm	huge
Frau	woman
Anlagen	facilities
bieten	bid
Mitte	middle
Kabel	cable
Chancen	opportunities
Einnahme	taking
Werte	values
Aufteilung	division
Kommen	coming
Objekt	object
lesbisch	lesbian
angemessen	appropriate
Maschine	machine
Logo	logo
Länge	length
nett	nice
Ergebnis	score
Statistiken	statistics
Klient	client
Probe	sample
Investition	investment
geschickt	sent
gezeigt	shown
Weihnachten	christmas
Kultur	culture
Blitz	flash
Frau	ms
Wahl	choice
Kurse	courses
Verbraucher	consumer
Hallo	hi
fremd	foreign
Künstler	artist
Möbel	furniture
Kanal	channel
Brief	letter
Modus	mode
Telefone	phones
Ideen	ideas
Struktur	structure
Grad	degree
Vertrag	contract
Super	super
männlich	male
Angelegenheit	matter
fast	almost
gelegen	located
mehrere	multiple
Verteilung	distribution
Editor	editor
Gasthaus	inn
industriell	industrial
Potenzial	potential
Lied	song
los	los
fallen	fall
Idee	idea
Räume	rooms
Kommunikations	communications
Sieg	win
primär	primary
Krebs	cancer
Zahlen	numbers
Grund	reason
Werkzeug	tool
Frühling	spring
Stiftung	foundation
Antworten	answer
Stimme	voice
Zeitplan	schedule
Unterlagen	documents
Zweck	purpose
Feature	feature
Bett	bed
kommt	comes
Polizei	police
unabhängig	independent
Ansatz	approach
braun	brown
physikalisch	physical
Hügel	hill
Karten	maps
halt	hold
Bewertungen	ratings
glücklich	happy
Schmied	smith
entwickelt	developed
danken	thank
sicher	safe
einzigartig	unique
Umfrage	survey
vor	prior
Telefon	telephone
Sport	sport
bereit	ready
Tier	animal
Quellen	sources
Population	population
pa	pa
regulär	regular
sichern	secure
Geschäftstätigkeit	operations
einfach	simply
Beweis	evidence
Bahnhof	station
verstehen	understand
Möglichkeit	option
Tal	valley
wahrscheinlich	probably
Meer	sea
Publikationen	publications
verbessern	improve
Verbindung	connection
Herausgeber	publisher
Halle	hall
Anti	anti
Netzwerke	networks
Erde	earth
Eltern	parents
Auswirkung	impact
Transfer	transfer
Einführung	introduction
Küche	kitchen
stark	strong
Hochzeit	wedding
Eigenschaften	properties
Krankenhaus	hospital
Boden	ground
Schiff	ship
Unterkunft	accommodation
Krankheit	disease
Ausgezeichnet	excellent
perfekt	perfect
Haar	hair
Gelegenheit	opportunity
Ausrüstung	kit
klassisch	classic
Basis	basis
Befehl	command
Städte	cities
ausdrücken	express
vergeben	award
Entfernung	distance
Baum	tree
Bewertung	assessment
Mauer	wall
beteiligt	involved
el	el
extra	extra
insbesondere	especially
Budget	budget
Führungen	guides
Erfolg	success
maximal	maximum
ma	ma
Betrieb	operation
bestehende	existing
ganz	quite
ausgewählt	selected
Junge	boy
Restaurants	restaurants
schön	beautiful
Warnung	warning
Standorte	locations
Pferd	horse
Abstimmung	vote
Blumen	flowers
Sterne	stars
Listen	lists
Inhaber	owner
Tiere	animals
Wege	ways
Sohn	son
Bereitstellen	providing
Regel	rule
Gehäuse	housing
nimmt	takes
bringen	bring
Katalog	catalog
max	max
Mutter	mother
Behörde	authority
erzählte	told
Programm	programme
beigetreten	joined
Eingang	input
Strategie	strategy
Füße	feet
Agent	agent
gültig	valid
modern	modern
Senior	senior
sexy	sexy
Lehren	teaching
Tür	door
großartig	grand
Versuch	trial
Einheiten	units
cool	cool
normal	normal
Unternehmen	enterprise
Schiffe	ships
ganz	entire
positiv	positive
Fitness	fitness
Chinesisch	chinese
Meinung	opinion
Fußball	football
abstrakt	abstract
Ausgabe	output
Mittel	funds
Herr	mr
wahrscheinlich	likely
entwickeln	develop
Künstler	artists
Alternative	alternative
Verantwortung	responsibility
Java	java
Gast	guest
Veröffentlichung	publication
bestehen	pass
Verhältnis	relations
Vertrauen	trust
Transporter	van
enthält	contains
Mehr	multi
Republik	republic
Gebühren	fees
Komponenten	components
Ferien	vacation
Jahrhundert	century
akademisch	academic
Hilfe	assistance
abgeschlossen	completed
Haut	skin
Grafik	graphics
indisch	indian
Ring	ring
Klasse	grade
Berg	mountain
Organisationen	organizations
Filter	filter
Platte	panel
Fußboden	floor
Kauf	buying
Spiel	match
vorgeschlagen	proposed
benötigen	require
Jungen	boys
Morgen	morning
erlaubt	allows
Eiweiß	protein
Pflanze	plant
berichtet	reported
schlagen	hit
Millimeter	mm
Schwimmbad	pool
Mini	mini
Politik	politics
Partner	partner
Autoren	authors
Bretter	boards
Fisch	fish
Mitgliedschaft	membership
Mission	mission
Auge	eye
Schnur	string
Sinn	sense
geändert	modified
freigegeben	released
Bühne	stage
intern	internal
geboren	born
ausführlich	detailed
japanisch	japanese
Rennen	race
genehmigt	approved
Ziel	target
außer	except
Charakter	character
Instandhaltung	maintenance
Fähigkeit	ability
ed	ed
vergewaltigen	rape
Batterie	battery
Jugend	youth
Druck	pressure
eingereicht	submitted
Schuld	debt
Mittel	medium
Fernsehen	television
interessiert	interested
Ader	core
Unterbrechung	break
Zwecke	purposes
Sets	sets
tanzen	dance
Holz	wood
definiert	defined
Papiere	papers
Auszeichnungen	awards
Gebühr	fee
Studio	studio
Leser	reader
Gerät	device
etabliert	established
Antworten	answers
Miete	rent
las	las
dunkel	dark
extern	external
Apfel	apple
le	le
Anleitung	instructions
Mindest	min
angeboten	offered
Theorie	theory
Löschen	remove
Hilfe	aid
visuell	visual
Gastgeber	host
Vielfalt	variety
Lehrer	teachers
Handbuch	manual
Block	block
Fächer	subjects
Mittel	agents
Reparatur	repair
Messe	fair
stehlen	steel
Verstehen	understanding
Lieder	songs
Fest	fixed
falsch	wrong
Anfang	beginning
Hände	hands
az	az
Paris	paris
wird	gets
Sektor	sector
Kapazität	capacity
un	un
Fett	fat
Vater	father
elektrisch	electric
sah	saw
Instrumente	instruments
Offizier	officer
Treiber	driver
Unternehmen	businesses
tot	dead
unbekannte	unknown
Restaurant	restaurant
Mike	mike
Ausflug	trip
mi	mi
Arm	poor
Beziehung	relationship
Arbeitskräfte	workers
Frieden	peace
traditionell	traditional
zeigt	showing
kreativ	creative
Küste	coast
Vorteil	benefit
Finanzierung	funding
Geräte	devices
Herr	lord
gewähren	grant
Unter	sub
Fiktion	fiction
Uhren	watches
Karriere	careers
geht	goes
LED	led
Museum	museum
Ventilator	fan
Transport	transport
interessant	interesting
Blogs	blogs
Auswertung	evaluation
ehemalige	former
Zone	zone
Komplex	complex
th	th
Katze	cat
sterben	die
vorgeführt	presented
eben	flat
fließen	flow
Agenturen	agencies
Literatur	literature
Elternteil	parent
Rahmen	setting
DR	dr
Rahmen	scale
Wirtschaft	economy
hilfreich	helpful
monatlich	monthly
kritisch	critical
Rahmen	frame
Musical	musical
Definition	definition
Sekretär	secretary
Pfad	path
Chef	chief
gibt	gives
Pakete	packages
Detail	detail
Gesetze	laws
geändert	changed
Start	begin
königlich	royal
reinigen	clean
Kerl	guy
Titel	titles
relevant	relevant
Gerechtigkeit	justice
verbinden	connect
Tasse	cup
Korb	basket
angewandt	applied
wöchentlich	weekly
vol	vol
Installation	installation
pp	pp
Beachtung	attention
vorrücken	advance
überspringen	skip
Diät	diet
Armee	army
Ausrüstung	gear
Unterschied	difference
dürfen	allowed
richtig	correct
Nation	nation
Verkauf	selling
viele	lots
Stück	piece
Blatt	sheet
Feste	firm
Sieben	seven
Elemente	elements
Spezies	species
springen	jump
Zellen	cells
Modul	module
Urlaubsort	resort
Zertifikat	certificate
Minister	minister
Bewegung	motion
Mode	fashion
Richtungen	directions
Besucher	visitors
Dokumentation	documentation
Handel	trading
Wald	forest
Anrufe	calls
Berichterstattung	coverage
Paar	couple
Angabe	giving
Chance	chance
Vision	vision
Ball	ball
Ende	ending
Kunden	clients
Aktionen	actions
diskutieren	discuss
Tor	goal
erfolgreich	successful
verkauft	sold
Wind	wind
Gemeinden	communities
klinisch	clinical
Lage	situation
Märkte	markets
Verlagswesen	publishing
erscheinen	appear
Entwicklung	developing
Leben	lives
bestimmen	determine
Temperatur	temperature
Ankündigungen	announcements
geduldig	patient
tatsächlich	actual
historisch	historical
Stein	stone
Bob	bob
Handel	commerce
Personen	persons
schwer	difficult
wissenschaftlich	scientific
Satellit	satellite
Tests	tests
Dorf	village
Konten	accounts
Amateur	amateur
Ex	ex
getroffen	met
Schmerzen	pain
Faktoren	factors
Kaffee	coffee
Käufer	buyer
Poster	poster
Kante	edge
funktional	functional
Wurzel	root
fi	fi
geschlossen	closed
Ferien	holidays
Rosa	pink
Balance	balance
Überwachung	monitoring
Antworten	replies
Schuss	shot
Initiale	initial
Etikette	label
Sekunde	sec
Kanon	canon
Liga	league
Abfall	waste
Minute	minute
Bus	bus
Anbieter	provider
Wörterbuch	dictionary
Buchhaltung	accounting
Herstellung	manufacturing
Abschnitte	sections
Stuhl	chair
Anstrengung	effort
Phase	phase
Fantasie	fantasy
po	po
va	va
Professor	professor
Installieren	install
Hemd	shirt
Kleider	apparel
Fuß	foot
Brust	breast
Techniken	techniques
Dollar	dollars
Religion	religion
Genehmigung	permission
wild	wild
Generation	generation
Fräulein	miss
chemisch	chemical
Arzt	doctor
Aufgabe	task
reduzieren	reduce
gebracht	brought
Übung	exercise
Fehler	bug
Garantie	guarantee
Führer	leader
se	se
Prozesse	processes
weich	soft
Treffen	meetings
Sekunden	seconds
Flug	flight
Kongress	congress
Treibstoff	fuel
gehen	walk
hergestellt	produced
Heilige	saint
Streit	argument
Wettbewerb	competition
Drogen	drugs
Joint	joint
Prämie	premium
frisch	fresh
Figuren	characters
Rechtsanwalt	attorney
di	di
Faktor	factor
tausende	thousands
km	km
Strom	stream
Wohnungen	apartments
pflücken	pick
Hören	hearing
östlich	eastern
Therapie	therapy
Einträge	entries
unterzeichnet	signed
administrativ	administrative
ernst	serious
Grenze	limit
Schritte	steps
Geschäfte	shops
Knechtschaft	bondage
del	del
Anstrengungen	efforts
informiert	informed
ga	ga
Gedanken	thoughts
Bach	creek
ft	ft
Menge	quantity
wesentlich	essential
Touren	tours
Belastung	load
sofort	immediately
Maschinen	machines
vorgesehen	designated
schwer	heavy
bedeckt	covered
Wiederherstellung	recovery
integriert	integrated
Aufbau	configuration
Schwanz	cock
Händler	merchant
umfassend	comprehensive
Experte	expert
schützen	protect
solide	solid
Präsentation	presentation
wurde	became
Orange	orange
Beachtung	compliance
Thema	theme
Reich	rich
Kampagne	campaign
vs	vs
Gitarre	guitar
finden	finding
Beispiele	examples
Geist	spirit
ar	ar
Ansprüche	claims
Annahme	acceptance
Strategien	strategies
mo	mo
Angelegenheiten	affairs
beabsichtigt	intended
sa	sa
Tore	goals
mieten	hire
Wahl	election
vorschlagen	suggest
Ast	branch
Dienen	serve
Mitgliedsorganisationen	affiliates
montieren	mount
Latein	latin
Multimedia	multimedia
verwalten	manage
Ecke	corner
Rang	rank
Element	element
Geburt	birth
Virus	virus
interaktiv	interactive
Anfragen	requests
trennen	separate
Quartal	quarter
Verfahren	procedure
Führung	leadership
definieren	define
religiös	religious
Fakten	facts
Frühstück	breakfast
Säule	column
Glauben	faith
Kette	chain
identifizieren	identify
Avenue	avenue
fehlt	missing
Empfehlungen	recommendations
gerührt	moved
erreichen	reach
Vergleich	comparison
Moment	moment
verlängert	extended
Sequenz	sequence
Zoll	inch
Attacke	attack
Zentren	centers
Öffnung	opening
Labor	lab
Reservieren	reserve
Gamma	gamma
produzieren	produce
Wahrheit	truth
Zähler	counter
Fehler	failure
folgt	follows
Dollar	dollar
Lager	camp
die	des
Filme	films
Brücke	bridge
füllen	fill
Bewegung	movement
Drucken	printing
Entwurf	draft
Diagramm	chart
gespielt	played
Kontakte	contacts
Leser	readers
Clubs	clubs
wa	wa
Abenteuer	adventure
Opfer	offering
profitieren	profit
Führung	leaders
Poster	posters
Institutionen	institutions
Assistent	assistant
Variable	variable
dj	dj
Parken	parking
gestern	yesterday
entschlossen	determined
Werkstatt	workshop
Weg	gone
Codes	codes
Arten	kinds
Erweiterung	extension
Aussagen	statements
vollständig	completely
Mannschaften	teams
Fort	fort
cm	cm
Senat	senate
komisch	funny
Gen	gene
gedreht	turned
Scheibe	disc
Muster	pattern
Boot	boat
Theater	theatre
Hersteller	manufacturers
Sponsor	sponsor
klassisch	classical
Symbol	icon
Garantie	warranty
gewidmet	dedicated
Richtung	direction
Basketball	basketball
Objekte	objects
löschen	delete
Abend	evening
Versammlung	assembly
nuklear	nuclear
Maus	mouse
Signal	signal
Verbrecher	criminal
ausgegeben	issued
mächtig	powerful
Traum	dream
FALSCH	FALSE
da	da
Besetzung	cast
Blume	flower
Personal	personnel
bestanden	passed
geliefert	supplied
Stürze	falls
Seele	soul
fördern	promote
angegeben	stated
Statistiken	stats
Profis	professionals
erscheint	appears
tragen	carry
Flagge	flag
Abdeckungen	covers
em	em
Vorteil	advantage
Hallo	hello
Design	designs
pflegen	maintain
Tourismus	tourism
Priorität	priority
Erwachsene	adults
Grafik	graphic
Atom	atom
Zahlungen	payments
Bindung	binding
kurz	brief
beendet	ended
gewinnt	winning
anonym	anonymous
Skript	script
serviert	served
will	wants
bereit	prepared
Leere	void
Etikett	tag
Interview	interview
mischen	mix
Rahmen	framework
Scheibe	disk
Eingerichtet	installed
Königin	queen
Kredite	credits
deutlich	clearly
Fix	fix
Griff	handle
Süss	sweet
Kriterien	criteria
assoziieren	associate
ne	ne
Verhalten	behavior
vergrößern	enlarge
Strahl	ray
Einnahmen	revenue
messen	measure
Stimmen	votes
du	du
Pflicht	duty
Diskussionen	discussions
Bär	bear
gewinnen	gain
Festival	festival
Labor	laboratory
Ozean	ocean
Flüge	flights
Fachwelt	experts
Zeichen	signs
Tiefe	depth
Zug	train
trocken	dry
erkunden	explore
Spa	spa
Konzept	concept
fast	nearly
Handhabung	handling
Ursprung	origin
Milliarde	billion
Intelligenz	intelligence
gekauft	bought
con	con
Nationen	nations
Route	route
gebrochen	broken
Schlacht	battle
sprechen	speak
Protokoll	protocol
Abfrage	query
Partnerschaft	partnership
Ausdruck	expression
es	es
Rede	speech
Draht	wire
Vorschläge	suggestions
Ersatz	replacement
Band	tape
strategisch	strategic
Richter	judge
Acid	acid
Bytes	bytes
Cent	cent
gezwungen	forced
kompatibel	compatible
Wohnung	apartment
Null	null
Null	zero
Redner	speaker
Beratung	consulting
Konstrukteur	designer
pr	pr
Ehe	marriage
rollen	roll
Banken	banks
fr	fr
Teilnehmer	participants
Geheimnis	secret
Negativ	negative
Favoriten	favorites
Theater	theater
Federung	springs
var	var
ausführen	perform
Übersetzung	translation
Schätzungen	estimates
Verletzung	injury
Ministerium	ministry
Treiber	drivers
Anwalt	lawyer
Figuren	figures
geschützt	protected
Vorschlag	proposal
teilen	sharing
Portal	portal
Beta	beta
gratis	gratis
zu	toward
leicht	slightly
helfen	assist
Verhalten	conduct
enthalten	contained
Gesetzgebung	legislation
Berufung	calling
Parameter	parameters
Profile	profiles
Angelegenheiten	matters
Häuser	houses
Steuerung	controls
kombiniert	combined
letzte	ultimate
Vertreter	representative
geringer	minor
Abteilungen	departments
Bewohner	residents
angezeigt	displayed
Mama	mom
reduziert	reduced
Selten	rare
durchgeführt	performed
extrem	extreme
Proben	samples
Riegel	bars
Prognose	forecast
entfernt	removed
Zyklus	cycle
enthalten	contain
Richtigkeit	accuracy
Schlaf	sleep
mg	mg
Vogel	bird
Apotheke	pharmacy
Schaffung	creation
statisch	static
Jäger	hunter
Adressen	addresses
Dame	lady
Kristall	crystal
berühmt	famous
Schriftsteller	writer
Vorsitzende	chairman
Getränk	drink
Akademie	academy
dynamisch	dynamic
Essen	eat
permanent	permanent
Reinigung	cleaning
bildet	constitutes
Mappe	portfolio
praktisch	practical
geliefert	delivered
Infrastruktur	infrastructure
Farbe	colour
Verkäufer	vendor
Philosophie	philosophy
Verordnung	regulation
Offiziere	officers
Ziel	aim
Gebote	bids
Ernährung	nutrition
Aufzeichnung	recording
Junior	junior
les	les
Kap	cape
Ringe	rings
Spitze	tip
wunderbar	wonderful
Fahrkarte	ticket
angekündigt	announced
vermuten	guess
wem	whom
Fußball	soccer
Mathematik	math
einführen	import
Entsendung	posting
Gegenwart	presence
automatisch	automatic
Besichtigung	viewing
gepflegt	maintained
CH	ch
Dan	dan
Hunde	dogs
Direktoren	directors
Aspekte	aspects
voraus	ahead
Mond	moon
Beteiligung	participation
planen	scheme
Fliege	fly
Weise	manner
Matrix	matrix
Kombination	combination
Änderung	amendment
Stärke	strength
Truthahn	turkey
Bibliotheken	libraries
richtig	proper
Grad	degrees
Unternehmen	enterprises
Delta	delta
Angst	fear
suche	seeking
Zoll	inches
Konvention	convention
Anteile	shares
Schulleiter	principal
Komfort	comfort
Farben	colors
Kriege	wars
Bestellung	ordering
gehalten	kept
Alpha	alpha
Beschwerde	appeal
Kreuzfahrt	cruise
Bonus	bonus
Hallo	hey
Gebäude	buildings
Angebote	specials
schlagen	beat
Batterien	batteries
wird	becomes
fährt	drives
Waffen	arms
Tee	tea
verbessert	improved
leisten	achieve
Positionen	positions
Kleid	dress
Abonnement	subscription
Händler	dealer
zeitgenössisch	contemporary
Himmel	sky
Rom	rom
getragen	carried
Exposition	exposure
verbergen	hide
Unterschrift	signature
Müller	miller
Bereitstellung	provision
Kleider	clothes
Rahmen	frames
bestimmt	certainly
Zeitung	newspaper
Spielzeug	toy
Schicht	layer
gedruckt	printed
langsam	slow
Entfernung	removal
Haftung	liability
Drucker	printers
Hinzufügen	adding
Stelle	spot
verbringen	spend
Fabrik	factory
Innere	interior
wachsen	grow
optisch	optical
Beförderung	promotion
relativ	relative
tolle	amazing
Punkt	dot
Identität	identity
Umwandlung	conversion
Gefühl	feeling
versteckt	hidden
angemessen	reasonable
Revision	revision
beeinflussen	influence
Verhältnis	ratio
Bedeutung	importance
Regen	rain
Planet	planet
Kopien	copies
erlauben	permit
Sehen	seeing
Beweis	proof
Bass	bass
Rezept	prescription
